AttendanceEventId,Forename,Surname,PostTown,Postcode,HomeLat,HomeLong,County,Region,SessionDate,SessionStartTime,SessionEndTime,NumberofBeds,Numberofconsultants,NumberofNurses,NumberInvited,NumberAttended,NumberofDonations,TotalBloodCollected,VenueName,VenueDesc,VenuePostTown,VenuePostcode,VenueLong,VenueLat,VenueCounty,VenueRegion,SurfaceTemperatureCelsius,SurfaceDewpointTemperatureCelsius,SurfaceWetBulbTemperatureCelsius,RelativeHumidityPercent,SurfaceAirPressureKilopascals,CloudCoveragePercent,WindChillTemperatureCelsius,ApparentTemperatureCelsius,WindSpeedKph,WindDirectionDegrees,PrecipitationPreviousHourCentimeters,HeatIndexCelsius,SnowfallCentimeters,SurfaceWindGustsKph,AttendanceStartTime,AttendanceEndTime,EventCost
3986,Virgil,Tracy,Southampton,SO1 3GM,50.9097,-1.4044,Hampshire,South,2015-01-05,2015-01-05 09:00,2015-01-05 14:00,9,3,6,82,67,49,28,COV,Coventry,Coventry,CV1 3YH,-1.5197,52.4068,East Midlands,Midlands,18.9,11.18000031,14.2,61,99.4,72,18.9,18.9,16.6,157,0,18.9,0,34.6,2015-08-02 14:00,2015-08-02 15:00,3.24
9268,Barney,Dog,Wokingham,RG40 2JU,51.4105,-0.8339,Berkshire,South,2015-01-01,2015-01-01 09:00,2015-01-01 14:00,6,0,0,0,0,0,0,NC,North Centre,London,N1 5TH,-0.0881,51.5413,Greater London,South,20.7,15.90999985,17.5,74,100.8,99,20.7,20.7,22.3,40,0,20.7,0,51,2015-08-13 12:00,2015-08-13 13:00,4.79
8196,Iam,Ordinary,Hull,HU14 2FS,53.7457,-0.3367,East Yorkshire,North,2015-01-02,2015-01-02 09:00,2015-01-02 14:00,9,1,8,50,23,14,8,COV,Coventry,Coventry,CV1 3YH,-1.5197,52.4068,East Midlands,Midlands,6.5,5.130000114,5.8,91,100.9,10,6.5,6.5,4.3,326,0,6.5,0,27,2015-04-06 09:00,2015-04-06 10:00,5.76
10792,Some,One,Taunton,TA3 6FF,51.0153,-3.1068,Somerset,West,2015-01-03,2015-01-03 09:00,2015-01-03 14:00,6,1,3,30,12,5,3,MAN,Manchester,Manchester,M1 3ED,-2.2426,53.4808,Cheshire,North,8.8,7.039999962,7.8,89,99.6,100,5.8,5.8,19.8,232,0.00254,8.8,0,67.9,2017-03-16 13:00,2017-03-16 14:00,7.03
10458,Iam,Ordinary,Hull,HU14 2FS,53.7457,-0.3367,East Yorkshire,North,2015-01-04,2015-01-04 09:00,2015-01-04 14:00,9,3,6,82,67,49,28,EEC,East End Centre,London,E1 6HG,-0.0558,51.5176,Greater London,South,6.3,3.069999933,4.8,80,99.9,98,3.4,3.4,14.8,349,0.00254,6.3,0,31.4,2016-04-16 13:00,2016-04-16 14:00,4.25
1139,Hugo,Lloris,Cardiff,CF3 5TH,51.4816,-3.1791,Glamorgan,West,2015-01-06,2015-01-06 09:00,2015-01-06 14:00,3,2,4,45,23,14,8,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,17.2,14.55000019,15.5,85,101.8,69,17.2,17.2,17.7,28,0,17.2,0,21.8,2015-07-15 12:00,2015-07-15 13:00,4.27
7066,Scott,Tracy,Wolverhampton,WL1 1HY,52.5871,-2.1289,West Midlands,Midlands,2015-01-07,2015-01-07 09:00,2015-01-07 14:00,3,2,5,45,27,17,10,EEC,East End Centre,London,E1 6HG,-0.0558,51.5176,Greater London,South,9.6,5.539999962,7.5,75,99.6,90,7.2,7.2,16.9,204,0,9.6,0,45.3,2016-04-09 15:00,2016-04-09 16:00,6.95
10750,Lady,Penelope,Mayfair,W1 1 RG,51.5116,-0.1478,Greater London,South,2015-01-08,2015-01-08 09:00,2015-01-08 14:00,3,0,4,25,12,5,3,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,12.1,8.079999924,9.9,77,98,73,12.1,12.1,74.3,183,0,12.1,0,99.1,2017-02-02 13:00,2017-02-02 14:00,6.43
4998,Captain,Scarlet,Brixton,E14 1 DA,51.4613,-0.1156,Greater London,South,2015-01-09,2015-01-09 09:00,2015-01-09 14:00,9,4,8,200,144,110,63,WEC,West end centre,London,W1 4AB,0.1354,51.5154,Greater London,South,16.1,10.93000031,13,71,101.2,97,16.1,16.1,16.6,85,0.00254,16.1,0,36.7,2015-10-10 14:00,2015-10-10 15:00,8.1
13301,Master,Chef,Thetford,TH1 4TG,52.4129,0.7517,Norfolk,East,2015-01-10,2015-01-10 09:00,2015-01-10 14:00,3,2,4,45,23,14,8,BRS,Bristol,Bristol,BS1 1QS,-2.5879,51.4545,Avon,West,9.3,2.869999886,6.2,64,102.5,0,6.8,6.8,16.8,305,0,9.3,0,21.2,2016-04-30 14:00,2016-04-30 15:00,5.27
